MeasurementName	MeasurementUnit	Sex	AgeMin	AgeMax	Percentile	Value
Weight	lb	Female	80	99	1.3	95.993343578
Weight	lb	Male	0	18	1.3	11.643480068
Weight	lb	Male	18	25	1.3	110.045370996
Weight	lb	Male	26	35	1.3	124.04845585
Weight	lb	Male	36	45	1.3	124.518701296
Weight	lb	Male	46	55	1.3	120.743510008
Weight	lb	Male	56	65	1.3	118.153522432
Weight	lb	Male	66	79	1.3	119.079462832
Weight	lb	Male	80	99	1.3	110.885331216
Weight	lb	Female	0	18	1.4	11.0231
Weight	lb	Female	18	25	1.4	90.9515981
Weight	lb	Female	26	35	1.4	96.113495368
Weight	lb	Female	36	45	1.4	104.661248032
Weight	lb	Female	46	55	1.4	102.294368
Weight	lb	Female	56	65	1.4	101.160752396
Weight	lb	Female	66	79	1.4	103.7604403
Weight	lb	Female	80	99	1.4	96.051325084
Weight	lb	Male	0	18	1.4	12.12541
Weight	lb	Male	18	25	1.4	110.445289064
Weight	lb	Male	26	35	1.4	124.55882538
Weight	lb	Male	36	45	1.4	125.915548528
Weight	lb	Male	46	55	1.4	121.20118912
Weight	lb	Male	56	65	1.4	120.069778136
Weight	lb	Male	66	79	1.4	119.403982896
Weight	lb	Male	80	99	1.4	111.664884848
Weight	lb	Female	0	18	1.5	11.243562
Weight	lb	Female	18	25	1.5	92.34602025
Weight	lb	Female	26	35	1.5	97.34720072
Weight	lb	Female	36	45	1.5	104.85613644
Weight	lb	Female	46	55	1.5	102.294368
Weight	lb	Female	56	65	1.5	101.50290942
Weight	lb	Female	66	79	1.5	104.33915305
Weight	lb	Female	80	99	1.5	96.10930659
Weight	lb	Male	0	18	1.5	12.12541
Weight	lb	Male	18	25	1.5	111.21646514
Weight	lb	Male	26	35	1.5	124.95235005
Weight	lb	Male	36	45	1.5	127.206574
Weight	lb	Male	46	55	1.5	121.96398764
Weight	lb	Male	56	65	1.5	120.98182943
Weight	lb	Male	66	79	1.5	119.72850296
Weight	lb	Male	80	99	1.5	112.656082
Weight	lb	Female	0	18	1.6	11.464024
Weight	lb	Female	18	25	1.6	93.255426
Weight	lb	Female	26	35	1.6	97.975076496
Weight	lb	Female	36	45	1.6	105.156846608
Weight	lb	Female	46	55	1.6	102.502484128
Weight	lb	Female	56	65	1.6	102.119762096
Weight	lb	Female	66	79	1.6	104.71945
Weight	lb	Female	80	99	1.6	96.259000288
Weight	lb	Male	0	18	1.6	12.12541
Weight	lb	Male	18	25	1.6	111.770706608
Weight	lb	Male	26	35	1.6	125.11659424
Weight	lb	Male	36	45	1.6	127.206574
Weight	lb	Male	46	55	1.6	123.583942416
Weight	lb	Male	56	65	1.6	121.506308528
Weight	lb	Male	66	79	1.6	120.053023024
Weight	lb	Male	80	99	1.6	114.1552236
Weight	lb	Female	0	18	1.7	11.464024
Weight	lb	Female	18	25	1.7	93.255426
Weight	lb	Female	26	35	1.7	98.132265902
Weight	lb	Female	36	45	1.7	105.625107896
Weight	lb	Female	46	55	1.7	102.901961272
Weight	lb	Female	56	65	1.7	102.51483
Weight	lb	Female	66	79	1.7	104.71945
Weight	lb	Female	80	99	1.7	96.432944806
Weight	lb	Male	0	18	1.7	12.241373012
Weight	lb	Male	18	25	1.7	112.156294646
Weight	lb	Male	26	35	1.7	125.222416
Weight	lb	Male	36	45	1.7	127.354724464
Weight	lb	Male	46	55	1.7	124.811474832
Weight	lb	Male	56	65	1.7	121.866543436
Weight	lb	Male	66	79	1.7	120.603296176
Weight	lb	Male	80	99	1.7	115.6543652
Weight	lb	Female	0	18	1.8	11.684486
Weight	lb	Female	18	25	1.8	93.3325877
Weight	lb	Female	26	35	1.8	98.289455308
Weight	lb	Female	36	45	1.8	106.093369184
Weight	lb	Female	46	55	1.8	103.534246288
Weight	lb	Female	56	65	1.8	102.51483
Weight	lb	Female	66	79	1.8	104.83188562
Weight	lb	Female	80	99	1.8	96.606889324
Weight	lb	Male	0	18	1.8	12.566334
Weight	lb	Male	18	25	1.8	112.432974456
Weight	lb	Male	26	35	1.8	125.222416
Weight	lb	Male	36	45	1.8	127.622806256
Weight	lb	Male	46	55	1.8	125.700377616
Weight	lb	Male	56	65	1.8	122.69371686
Weight	lb	Male	66	79	1.8	121.142987152
Weight	lb	Male	80	99	1.8	117.1535068
Weight	lb	Female	0	18	1.9	11.904948
Weight	lb	Female	18	25	1.9	93.45935335
Weight	lb	Female	26	35	1.9	98.326052
Weight	lb	Female	36	45	1.9	106.76092812
Weight	lb	Female	46	55	1.9	103.891835652
Weight	lb	Female	56	65	1.9	102.637847796
Weight	lb	Female	66	79	1.9	105.16588555
Weight	lb	Female	80	99	1.9	96.780833842
Weight	lb	Male	0	18	1.9	12.786796
Weight	lb	Male	18	25	1.9	112.774911018
Weight	lb	Male	26	35	1.9	125.35689782
Weight	lb	Male	36	45	1.9	128.377668144
Weight	lb	Male	46	55	1.9	126.731257928
Weight	lb	Male	56	65	1.9	123.248399252
Weight	lb	Male	66	79	1.9	121.467507216
Weight	lb	Male	80	99	1.9	117.800783232
Weight	lb	Female	0	18	2	11.904948
Weight	lb	Female	18	25	2	94.137274
Weight	lb	Female	26	35	2	98.44069224
Weight	lb	Female	36	45	2	107.43554184
Weight	lb	Female	46	55	2	104.20797816
Weight	lb	Female	56	65	2	103.75823568
Weight	lb	Female	66	79	2	105.931991
Weight	lb	Female	80	99	2	96.84013812
Weight	lb	Male	0	18	2	13.13071672
Weight	lb	Male	18	25	2	113.67461644
Weight	lb	Male	26	35	2	125.6192476
Weight	lb	Male	36	45	2	129.00554392
Weight	lb	Male	46	55	2	127.52403928
Weight	lb	Male	56	65	2	123.53367708
Weight	lb	Male	66	79	2	122.42695784
