MeasurementName,MeasurementUnit,Sex,AgeMin,AgeMax,Percentile,Value
Weight,lb,Male,56,65,1,115.0106162
Weight,lb,Male,66,79,1,116.9242263
Weight,lb,Male,80,99,1,108.9170465
Weight,lb,Female,0,18,1.1,10.582176
Weight,lb,Female,18,25,1.1,88.1737769
Weight,lb,Female,26,35,1.1,94.84605933
Weight,lb,Female,36,45,1.1,103.2097262
Weight,lb,Female,46,55,1.1,101.41252
Weight,lb,Female,56,65,1.1,100.2295209
Weight,lb,Female,66,79,1.1,102.216104
Weight,lb,Female,80,99,1.1,95.7594334
Weight,lb,Male,0,18,1.1,10.9036096
Weight,lb,Male,18,25,1.1,108.6253753
Weight,lb,Male,26,35,1.1,122.1348457
Weight,lb,Male,36,45,1.1,123.638617
Weight,lb,Male,46,55,1.1,120.592714
Weight,lb,Male,56,65,1.1,115.731086
Weight,lb,Male,66,79,1.1,117.2346368
Weight,lb,Male,80,99,1.1,109.3368061
Weight,lb,Female,0,18,1.2,10.802638
Weight,lb,Female,18,25,1.2,88.9343708
Weight,lb,Female,26,35,1.2,95.38685262
Weight,lb,Female,36,45,1.2,103.7247255
Weight,lb,Female,46,55,1.2,101.41252
Weight,lb,Female,56,65,1.2,100.6029835
Weight,lb,Female,66,79,1.2,102.5192392
Weight,lb,Female,80,99,1.2,95.93536207
Weight,lb,Male,0,18,1.2,11.05308283
Weight,lb,Male,18,25,1.2,109.7821394
Weight,lb,Male,26,35,1.2,123.3925814
Weight,lb,Male,36,45,1.2,124.2506195
Weight,lb,Male,46,55,1.2,120.5962414
Weight,lb,Male,56,65,1.2,115.9198014
Weight,lb,Male,66,79,1.2,118.5327171
Weight,lb,Male,80,99,1.2,110.1057776
Weight,lb,Female,0,18,1.3,11.0231
Weight,lb,Female,18,25,1.3,89.9044036
Weight,lb,Female,26,35,1.3,95.79911656
Weight,lb,Female,36,45,1.3,104.1929867
Weight,lb,Female,46,55,1.3,101.6955932
Weight,lb,Female,56,65,1.3,100.9740211
Weight,lb,Female,66,79,1.3,102.9943349
Weight,lb,Female,80,99,1.3,95.99334358
Weight,lb,Male,0,18,1.3,11.64348007
Weight,lb,Male,18,25,1.3,110.045371
Weight,lb,Male,26,35,1.3,124.0484559
Weight,lb,Male,36,45,1.3,124.5187013
Weight,lb,Male,46,55,1.3,120.74351
Weight,lb,Male,56,65,1.3,118.1535224
Weight,lb,Male,66,79,1.3,119.0794628
Weight,lb,Male,80,99,1.3,110.8853312
Weight,lb,Female,0,18,1.4,11.0231
Weight,lb,Female,18,25,1.4,90.9515981
Weight,lb,Female,26,35,1.4,96.11349537
Weight,lb,Female,36,45,1.4,104.661248
Weight,lb,Female,46,55,1.4,102.294368
Weight,lb,Female,56,65,1.4,101.1607524
Weight,lb,Female,66,79,1.4,103.7604403
Weight,lb,Female,80,99,1.4,96.05132508
Weight,lb,Male,0,18,1.4,12.12541
Weight,lb,Male,18,25,1.4,110.4452891
Weight,lb,Male,26,35,1.4,124.5588254
Weight,lb,Male,36,45,1.4,125.9155485
Weight,lb,Male,46,55,1.4,121.2011891
Weight,lb,Male,56,65,1.4,120.0697781
Weight,lb,Male,66,79,1.4,119.4039829
Weight,lb,Male,80,99,1.4,111.6648848
Weight,lb,Female,0,18,1.5,11.243562
Weight,lb,Female,18,25,1.5,92.34602025
Weight,lb,Female,26,35,1.5,97.34720072
Weight,lb,Female,36,45,1.5,104.8561364
Weight,lb,Female,46,55,1.5,102.294368
Weight,lb,Female,56,65,1.5,101.5029094
Weight,lb,Female,66,79,1.5,104.3391531
Weight,lb,Female,80,99,1.5,96.10930659
Weight,lb,Male,0,18,1.5,12.12541
Weight,lb,Male,18,25,1.5,111.2164651
Weight,lb,Male,26,35,1.5,124.9523501
Weight,lb,Male,36,45,1.5,127.206574
Weight,lb,Male,46,55,1.5,121.9639876
Weight,lb,Male,56,65,1.5,120.9818294
Weight,lb,Male,66,79,1.5,119.728503
Weight,lb,Male,80,99,1.5,112.656082
Weight,lb,Female,0,18,1.6,11.464024
Weight,lb,Female,18,25,1.6,93.255426
Weight,lb,Female,26,35,1.6,97.9750765
Weight,lb,Female,36,45,1.6,105.1568466
Weight,lb,Female,46,55,1.6,102.5024841
Weight,lb,Female,56,65,1.6,102.1197621
Weight,lb,Female,66,79,1.6,104.71945
Weight,lb,Female,80,99,1.6,96.25900029
Weight,lb,Male,0,18,1.6,12.12541
Weight,lb,Male,18,25,1.6,111.7707066
Weight,lb,Male,26,35,1.6,125.1165942
Weight,lb,Male,36,45,1.6,127.206574
Weight,lb,Male,46,55,1.6,123.5839424
Weight,lb,Male,56,65,1.6,121.5063085
Weight,lb,Male,66,79,1.6,120.053023
Weight,lb,Male,80,99,1.6,114.1552236
Weight,lb,Female,0,18,1.7,11.464024
Weight,lb,Female,18,25,1.7,93.255426
Weight,lb,Female,26,35,1.7,98.1322659
Weight,lb,Female,36,45,1.7,105.6251079
Weight,lb,Female,46,55,1.7,102.9019613
Weight,lb,Female,56,65,1.7,102.51483
Weight,lb,Female,66,79,1.7,104.71945
Weight,lb,Female,80,99,1.7,96.43294481
Weight,lb,Male,0,18,1.7,12.24137301
Weight,lb,Male,18,25,1.7,112.1562946
Weight,lb,Male,26,35,1.7,125.222416
Weight,lb,Male,36,45,1.7,127.3547245
Weight,lb,Male,46,55,1.7,124.8114748
Weight,lb,Male,56,65,1.7,121.8665434
Weight,lb,Male,66,79,1.7,120.6032962
