variable,gender,age_min,age_max,percentile,value
Weight,2,26,35,1.3,95.79911656
Weight,2,36,45,1.3,104.1929867
Weight,2,46,55,1.3,101.6955932
Weight,2,56,65,1.3,100.9740211
Weight,2,66,79,1.3,102.9943349
Weight,2,80,99,1.3,95.99334358
Weight,1,0,18,1.3,11.64348007
Weight,1,18,25,1.3,110.045371
Weight,1,26,35,1.3,124.0484559
Weight,1,36,45,1.3,124.5187013
Weight,1,46,55,1.3,120.74351
Weight,1,56,65,1.3,118.1535224
Weight,1,66,79,1.3,119.0794628
Weight,1,80,99,1.3,110.8853312
Weight,2,0,18,1.4,11.0231
Weight,2,18,25,1.4,90.9515981
Weight,2,26,35,1.4,96.11349537
Weight,2,36,45,1.4,104.661248
Weight,2,46,55,1.4,102.294368
Weight,2,56,65,1.4,101.1607524
Weight,2,66,79,1.4,103.7604403
Weight,2,80,99,1.4,96.05132508
Weight,1,0,18,1.4,12.12541
Weight,1,18,25,1.4,110.4452891
Weight,1,26,35,1.4,124.5588254
Weight,1,36,45,1.4,125.9155485
Weight,1,46,55,1.4,121.2011891
Weight,1,56,65,1.4,120.0697781
Weight,1,66,79,1.4,119.4039829
Weight,1,80,99,1.4,111.6648848
Weight,2,0,18,1.5,11.243562
Weight,2,18,25,1.5,92.34602025
Weight,2,26,35,1.5,97.34720072
Weight,2,36,45,1.5,104.8561364
Weight,2,46,55,1.5,102.294368
Weight,2,56,65,1.5,101.5029094
Weight,2,66,79,1.5,104.3391531
Weight,2,80,99,1.5,96.10930659
Weight,1,0,18,1.5,12.12541
Weight,1,18,25,1.5,111.2164651
Weight,1,26,35,1.5,124.9523501
Weight,1,36,45,1.5,127.206574
Weight,1,46,55,1.5,121.9639876
Weight,1,56,65,1.5,120.9818294
Weight,1,66,79,1.5,119.728503
Weight,1,80,99,1.5,112.656082
Weight,2,0,18,1.6,11.464024
Weight,2,18,25,1.6,93.255426
Weight,2,26,35,1.6,97.9750765
Weight,2,36,45,1.6,105.1568466
Weight,2,46,55,1.6,102.5024841
Weight,2,56,65,1.6,102.1197621
Weight,2,66,79,1.6,104.71945
Weight,2,80,99,1.6,96.25900029
Weight,1,0,18,1.6,12.12541
Weight,1,18,25,1.6,111.7707066
Weight,1,26,35,1.6,125.1165942
Weight,1,36,45,1.6,127.206574
Weight,1,46,55,1.6,123.5839424
Weight,1,56,65,1.6,121.5063085
Weight,1,66,79,1.6,120.053023
Weight,1,80,99,1.6,114.1552236
Weight,2,0,18,1.7,11.464024
Weight,2,18,25,1.7,93.255426
Weight,2,26,35,1.7,98.1322659
Weight,2,36,45,1.7,105.6251079
Weight,2,46,55,1.7,102.9019613
Weight,2,56,65,1.7,102.51483
Weight,2,66,79,1.7,104.71945
Weight,2,80,99,1.7,96.43294481
Weight,1,0,18,1.7,12.24137301
Weight,1,18,25,1.7,112.1562946
Weight,1,26,35,1.7,125.222416
Weight,1,36,45,1.7,127.3547245
Weight,1,46,55,1.7,124.8114748
Weight,1,56,65,1.7,121.8665434
Weight,1,66,79,1.7,120.6032962
Weight,1,80,99,1.7,115.6543652
Weight,2,0,18,1.8,11.684486
Weight,2,18,25,1.8,93.3325877
Weight,2,26,35,1.8,98.28945531
Weight,2,36,45,1.8,106.0933692
Weight,2,46,55,1.8,103.5342463
Weight,2,56,65,1.8,102.51483
Weight,2,66,79,1.8,104.8318856
Weight,2,80,99,1.8,96.60688932
Weight,1,0,18,1.8,12.566334
Weight,1,18,25,1.8,112.4329745
Weight,1,26,35,1.8,125.222416
Weight,1,36,45,1.8,127.6228063
Weight,1,46,55,1.8,125.7003776
Weight,1,56,65,1.8,122.6937169
Weight,1,66,79,1.8,121.1429872
Weight,1,80,99,1.8,117.1535068
