variable,gender,age_min,age_max,percentile,value
Height,2,46,55,1.4,57.08814106
Height,2,56,65,1.4,56.92412523
Height,2,66,79,1.4,56.48436121
Height,2,80,99,1.4,55.86963647
Height,1,0,18,1.4,34.33986106
Height,1,18,25,1.4,62.188695
Height,1,26,35,1.4,62.14885246
Height,1,36,45,1.4,62.04712012
Height,1,46,55,1.4,61.53987575
Height,1,56,65,1.4,62.13546662
Height,1,66,79,1.4,61.31877327
Height,1,80,99,1.4,60.47940274
Height,2,0,18,1.5,33.63486068
Height,2,18,25,1.5,57.874047
Height,2,26,35,1.5,57.90475568
Height,2,36,45,1.5,57.73979496
Height,2,46,55,1.5,57.11636943
Height,2,56,65,1.5,56.98585754
Height,2,66,79,1.5,56.51164469
Height,2,80,99,1.5,55.90081759
Height,1,0,18,1.5,34.4094674
Height,1,18,25,1.5,62.55593929
Height,1,26,35,1.5,62.38389196
Height,1,36,45,1.5,62.09078156
Height,1,46,55,1.5,61.69845851
Height,1,56,65,1.5,62.37168722
Height,1,66,79,1.5,61.3764111
Height,1,80,99,1.5,60.52463898
Height,2,0,18,1.6,33.68033315
Height,2,18,25,1.6,57.89766906
Height,2,26,35,1.6,58.0009762
Height,2,36,45,1.6,57.8025509
Height,2,46,55,1.6,57.16318047
Height,2,56,65,1.6,57.0079048
Height,2,66,79,1.6,56.5354636
Height,2,80,99,1.6,55.98491212
Height,1,0,18,1.6,34.57230213
Height,1,18,25,1.6,62.72948269
Height,1,26,35,1.6,62.53200227
Height,1,36,45,1.6,62.11467921
Height,1,46,55,1.6,61.8825531
Height,1,56,65,1.6,62.40381323
Height,1,66,79,1.6,61.49011194
Height,1,80,99,1.6,60.57798547
Height,2,0,18,1.7,33.72580561
Height,2,18,25,1.7,57.96558248
Height,2,26,35,1.7,58.08995263
Height,2,36,45,1.7,57.9134171
Height,2,46,55,1.7,57.21219625
Height,2,56,65,1.7,57.05703868
Height,2,66,79,1.7,56.5354636
Height,2,80,99,1.7,56.07845548
Height,1,0,18,1.7,34.65875887
Height,1,18,25,1.7,62.75243546
Height,1,26,35,1.7,62.6378291
Height,1,36,45,1.7,62.16369499
Height,1,46,55,1.7,61.98255316
Height,1,56,65,1.7,62.43593923
Height,1,66,79,1.7,61.57042695
Height,1,80,99,1.7,60.63133195
Height,2,0,18,1.8,33.7401757
Height,2,18,25,1.8,58.03349591
Height,2,26,35,1.8,58.20223615
Height,2,36,45,1.8,57.9134171
Height,2,46,55,1.8,57.24042461
Height,2,56,65,1.8,57.15719622
Height,2,66,79,1.8,56.55412503
Height,2,80,99,1.8,56.17199884
Height,1,0,18,1.8,34.70584551
Height,1,18,25,1.8,62.77538823
Height,1,26,35,1.8,62.6378291
Height,1,36,45,1.8,62.23538794
Height,1,46,55,1.8,62.00979726
Height,1,56,65,1.8,62.46806523
Height,1,66,79,1.8,61.62113564
Height,1,80,99,1.8,60.68467844
Height,2,0,18,1.9,33.7795458
Height,2,18,25,1.9,58.10140933
Height,2,26,35,1.9,58.29298423
Height,2,36,45,1.9,57.92971632
Height,2,46,55,1.9,57.2441254
Height,2,56,65,1.9,57.2441254
Height,2,66,79,1.9,56.58798331
Height,2,80,99,1.9,56.26428235
Height,1,0,18,1.9,34.87104245
Height,1,18,25,1.9,62.798341
Height,1,26,35,1.9,62.6378291
Height,1,36,45,1.9,62.30708089
Height,1,46,55,1.9,62.06239572
Height,1,56,65,1.9,62.50019123
Height,1,66,79,1.9,61.64995455
Height,1,80,99,1.9,60.7614895
Height,2,0,18,2,33.86222301
Height,2,18,25,2,58.12995265
Height,2,26,35,2,58.40790556
Height,2,36,45,2,57.97640926
Height,2,46,55,2,57.27089707
Height,2,56,65,2,57.2441254
Height,2,66,79,2,56.64255027
Height,2,80,99,2,56.3370383
Height,1,0,18,2,34.9212787
Height,1,18,25,2,62.82129377
Height,1,26,35,2,62.6378291
Height,1,36,45,2,62.37877384
Height,1,46,55,2,62.0866477
Height,1,56,65,2,62.53231723
Height,1,66,79,2,61.6535766
Height,1,80,99,2,60.85751318
Height,2,0,18,2.1,33.9370262
Height,2,18,25,2.1,58.1496377
Height,2,26,35,2.1,58.57633084
Height,2,36,45,2.1,58.11538571
Height,2,46,55,2.1,57.3251097
Height,2,56,65,2.1,57.30774748
Height,2,66,79,2.1,56.6535739
Height,2,80,99,2.1,56.40979424
Height,1,0,18,2.1,35.039389
Height,1,18,25,2.1,62.8346796
Height,1,26,35,2.1,62.65897084
Height,1,36,45,2.1,62.45046679
Height,1,46,55,2.1,62.08885243
Height,1,56,65,2.1,62.56444323
Height,1,66,79,2.1,61.66822228
Height,1,80,99,2.1,60.95353685
Height,2,0,18,2.2,33.99253804
Height,2,18,25,2.2,58.1496377
Height,2,26,35,2.2,58.60971669
Height,2,36,45,2.2,58.23341727
Height,2,46,55,2.2,57.35333806
Height,2,56,65,2.2,57.3228656
Height,2,66,79,2.2,56.68262903
Height,2,80,99,2.2,56.48255019
Height,1,0,18,2.2,35.05167247
Height,1,18,25,2.2,62.8346796
Height,1,26,35,2.2,62.69302598
Height,1,36,45,2.2,62.50822273
Height,1,46,55,2.2,62.14145088
Height,1,56,65,2.2,62.59656924
Height,1,66,79,2.2,61.70113568
Height,1,80,99,2.2,61.04956053
Height,2,0,18,2.3,34.07738061
Height,2,18,25,2.3,58.16735425
Height,2,26,35,2.3,58.6220789
Height,2,36,45,2.3,58.3071181
Height,2,46,55,2.3,57.38156642
Height,2,56,65,2.3,57.34270813
Height,2,66,79,2.3,56.76447947
Height,2,80,99,2.3,56.54113289
Height,1,0,18,2.3,35.09875911
Height,1,18,25,2.3,62.97960094
Height,1,26,35,2.3,62.76353783
Height,1,36,45,2.3,62.55601803
Height,1,46,55,2.3,62.23704148
Height,1,56,65,2.3,62.62869524
Height,1,66,79,2.3,61.75877351
Height,1,80,99,2.3,61.08137157
Height,2,0,18,2.4,34.0945066
Height,2,18,25,2.4,58.21262986
Height,2,26,35,2.4,58.63530725
